"SYS_FIELD_NAME"," FIELD_DESC",
"FL_DATE","Flight Date (yyyymmdd)",
"CARRIER","Code assigned by IATA and commonly used to identify a carrier. As the same code may have been assigned to different carriers over time, the code is not always unique. For analysis, use the Unique Carrier Code.",
"ORIGIN_AIRPORT_ID","Origin Airport, Airport ID. An identification number assigned by US DOT to identify a unique airport.  Use this field for airport analysis across a range of years because an airport can change its airport code and airport codes can be reused.",
"DEST_AIRPORT_ID","Destination Airport, Airport ID. An identification number assigned by US DOT to identify a unique airport.  Use this field for airport analysis across a range of years because an airport can change its airport code and airport codes can be reused.",
"DEP_DELAY","Difference in minutes between scheduled and actual departure time. Early departures show negative numbers.",
"DEP_DELAY_NEW","Difference in minutes between scheduled and actual departure time. Early departures set to 0.",
"ARR_DELAY","Difference in minutes between scheduled and actual arrival time. Early arrivals show negative numbers.",
"ARR_DELAY_NEW","Difference in minutes between scheduled and actual arrival time. Early arrivals set to 0.",
"CANCELLED","Cancelled Flight Indicator (1=Yes)",
"CANCELLATION_CODE","Specifies The Reason For Cancellation",
"DIVERTED","Diverted Flight Indicator (1=Yes)",
"CRS_ELAPSED_TIME","CRS Elapsed Time of Flight, in Minutes",
"ACTUAL_ELAPSED_TIME","Elapsed Time of Flight, in Minutes",
"AIR_TIME","Flight Time, in Minutes",
"FLIGHTS","Number of Flights",
